coef,Est_without_newCov,Est_with_newCov,delta
b11,0.5208479699746432,0.30386709798908834,0.217
b21,0.3837767151938953,0.14076073493286695,0.243
b22,-0.050047301624348756,-0.1606522720094477,0.111
b32,0.24270595476801102,0.24336052422086887,-0.001
b23,0.3688240061952886,0.37918650950409855,-0.01
b33,-0.1951194109274772,-0.19734154512728194,0.002
b34,0.22231814109180648,0.2218847924402309,0
b44,0.3718956954411321,0.3719619358445801,-0
b25,0.26606915338422643,0.3099306296026393,-0.044
b55,0.5150381602332171,0.45786547612322437,0.057
c41,0.28954754078086137,0.28951902977932414,0
c12,NA,-0.1103079698229876,NA
c22,NA,-0.14438172461361476,NA
c52,NA,-0.1110403474464711,NA
