coef,Est_without_newCov,Est_with_newCov,delta
b11,0.11533322461067366,0.11572304773079387,-0
b12,0.25991979167483903,0.2575634253856326,0.002
b22,0.5836229829123126,0.5088692571573311,0.075
b23,-0.24946360898527697,-0.20886051253216892,-0.041
b33,-0.5121373902183234,-0.5151514455037586,0.003
c11,-0.4686988458290404,-0.46895900617785696,0
c22,0.16694598881737036,0.16212577437129325,0.005
c13,-0.09864520764273865,-0.10026193499192343,0.002
c23,-0.27335505448559416,-0.24312483011651248,-0.03
c24,NA,0.059678269021766206,NA
c34,NA,0.0163606362078462,NA
